number,state,recall,overall_time_s,exit_code,non_zeros,k_graph,k_ext,eps_ext,prune_worst,max_dist,evpK
100,COMPLETE,0.9079999999999999,13.5,0,576,36,41,0.028043890243330677,12,758,24
101,COMPLETE,0.7831999999999999,5.3,0,960,20,25,0.00037629357857641625,11,308,53
102,COMPLETE,0.7659,4.7,0,832,20,31,0.01782912049177256,11,150,49
103,COMPLETE,0.9320999999999999,9.5,0,704,28,42,0.001153656921634438,13,793,61
104,COMPLETE,0.708,3.9,0,896,16,18,0.015572920553049025,7,153,65
105,COMPLETE,0.9281,9.7,0,704,32,32,0.001706496932692542,13,721,91
106,COMPLETE,0.8317,5.9,0,576,20,62,0.00021439130298669406,11,236,65
107,COMPLETE,0.7301000000000001,4.3,0,704,12,35,0.02042968906786488,1,158,58
108,COMPLETE,0.7878000000000001,8.1,0,832,24,58,0.03798578651388069,12,130,57
109,COMPLETE,0.8231999999999999,6.5,0,832,32,42,0.0001316918750470686,14,161,58
110,COMPLETE,0.7726999999999999,5.3,0,704,20,20,0.00018565333635203236,11,248,95
111,COMPLETE,0.9098,8.5,0,704,26,42,0.0004380771382732965,14,582,103
112,COMPLETE,0.9606,13.8,0,704,46,95,0.00011715512631468984,21,707,77
113,COMPLETE,0.8847,6.6,0,640,24,40,0.002450803429966319,11,388,65
114,COMPLETE,0.9469,12.7,0,704,50,84,0.00010629348389610825,27,491,98
115,COMPLETE,0.8591,6.3,0,768,20,39,0.0026970186295056588,10,384,77
116,COMPLETE,0.9107999999999999,8.0,0,640,32,43,0.0026019874446018844,10,414,75
117,COMPLETE,0.7513,4.8,0,960,22,32,0.001705802882238351,11,164,57
118,COMPLETE,0.8094,6.4,0,576,12,29,0.006629293801663242,6,425,120
119,COMPLETE,0.8698999999999999,7.8,0,960,30,23,0.024450598017892324,14,348,62
120,COMPLETE,0.875,10.0,0,576,40,115,0.0015847670286999217,8,194,50
121,COMPLETE,0.7670999999999999,5.3,0,768,22,40,0.02006369658093463,11,111,45
122,COMPLETE,0.7115,4.3,0,960,16,51,0.010694206711392306,7,128,49
123,COMPLETE,0.7026,8.2,0,448,34,122,0.0002392736946758031,6,56,43
124,COMPLETE,0.8681,11.4,0,768,56,84,0.0015727696054162444,24,122,51
125,COMPLETE,0.7762,4.6,0,768,20,18,0.006032675396048455,10,220,41
126,COMPLETE,0.8234,5.7,0,832,22,18,0.0051604103146570554,9,386,32
127,COMPLETE,0.8024,10.5,0,192,56,18,0.0005547986719180249,28,207,38
128,COMPLETE,0.8035,6.0,0,896,30,17,0.008312659544439,8,176,37
129,COMPLETE,0.7326999999999999,4.4,0,704,14,16,0.005502590508454714,2,325,36
