tier,config,mode,non_zeros,k_graph,k_ext,prune_worst,eps_ext,load_s,quant_s,build_s,convert_s,max_dist,evpK,explore_rerank_s,total_s,recall
C,C_4_kg32_evpk,mode4,512,32,24,11,0.002,23.4,16.0,222.2,0.0,800,30,85.8,348.3,0.8013
C,C_4_kg32_evpk,mode4,512,32,24,11,0.002,23.4,16.0,222.2,0.0,1000,30,93.1,355.6,0.8053
C,C_4_kg32_evpk,mode4,512,32,24,11,0.002,23.4,16.0,222.2,0.0,600,75,104.0,366.5,0.8304
C,C_4_kg32_evpk,mode4,512,32,24,11,0.002,23.4,16.0,222.2,0.0,800,75,125.5,388.0,0.8455
C,C_4_kg32_evpk,mode4,512,32,24,11,0.002,23.4,16.0,222.2,0.0,1000,75,146.3,408.8,0.8574
C,C_4_kg32_evpk,mode4,512,32,24,11,0.002,23.4,16.0,222.2,0.0,600,100,118.1,380.6,0.8316
C,C_4_kg32_evpk,mode4,512,32,24,11,0.002,23.4,16.0,222.2,0.0,800,100,141.4,403.9,0.8474
C,C_4_kg32_evpk,mode4,512,32,24,11,0.002,23.4,16.0,222.2,0.0,1000,100,163.0,425.5,0.86
C,C_7_kg28_evpk,mode7,576,28,34,10,0.002,25.4,15.9,223.9,1.2,600,20,156.2,423.4,0.7831
C,C_7_kg28_evpk,mode7,576,28,34,10,0.002,25.4,15.9,223.9,1.2,800,20,206.7,473.9,0.7947
C,C_7_kg28_evpk,mode7,576,28,34,10,0.002,25.4,15.9,223.9,1.2,1000,20,257.3,524.5,0.8037
C,C_7_kg28_evpk,mode7,576,28,34,10,0.002,25.4,15.9,223.9,1.2,600,30,160.5,427.7,0.8202
C,C_7_kg28_evpk,mode7,576,28,34,10,0.002,25.4,15.9,223.9,1.2,800,30,212.2,479.4,0.8351
C,C_7_kg28_evpk,mode7,576,28,34,10,0.002,25.4,15.9,223.9,1.2,1000,30,263.9,531.1,0.8465
C,C_7_kg28_evpk,mode7,576,28,34,10,0.002,25.4,15.9,223.9,1.2,600,75,182.6,449.8,0.8313
C,C_7_kg28_evpk,mode7,576,28,34,10,0.002,25.4,15.9,223.9,1.2,800,75,229.6,496.8,0.8485
C,C_7_kg28_evpk,mode7,576,28,34,10,0.002,25.4,15.9,223.9,1.2,1000,75,279.3,546.5,0.8617
C,C_7_kg28_evpk,mode7,576,28,34,10,0.002,25.4,15.9,223.9,1.2,600,100,189.2,456.4,0.8314
C,C_7_kg28_evpk,mode7,576,28,34,10,0.002,25.4,15.9,223.9,1.2,800,100,239.9,507.1,0.8486
C,C_7_kg28_evpk,mode7,576,28,34,10,0.002,25.4,15.9,223.9,1.2,1000,100,289.7,556.9,0.8619
C,C_7_kg32_evpk,mode7,512,32,24,11,0.002,35.3,16.0,221.7,1.2,600,20,153.4,428.5,0.7872
C,C_7_kg32_evpk,mode7,512,32,24,11,0.002,35.3,16.0,221.7,1.2,800,20,202.6,477.7,0.798
C,C_7_kg32_evpk,mode7,512,32,24,11,0.002,35.3,16.0,221.7,1.2,1000,20,253.2,528.3,0.8063
